"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN"
"USC00160548","BATON ROUGE CONCORD, LA US","2007-01-24",,,"0.12","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-01-25",,,"0.07","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-01-26",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-01-27",,,"0.02","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-01-28",,,"1.13","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-01-29",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-01-30",,,"0.01","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-01-31",,,"0.01","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-01",,,"0.28","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-02",,,"0.25","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-03",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-04",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-05",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-06",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-07",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-08",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-09",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-10",,,"0.06","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-11",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-12",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-13",,,"0.69","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-14",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-15",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-16",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-17",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-18",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-19",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-20",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-21",,,"0.19","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-22",,,"0.12","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-23",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-24",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-25",,,"0.09","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-26",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-27",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-02-28",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-01",,,"0.11","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-02",,,"0.01","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-03",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-04",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-05",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-06",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-07",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-08",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-09",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-10",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-11",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-12",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-13",,,"2.79","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-14",,,"0.02","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-15",,,"1.73","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-16",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-17",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-18",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-19",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-20",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-21",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-22",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-23",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-24",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-25",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-26",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-27",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-28",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-29",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-30",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-03-31",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-01",,,"0.42","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-02",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-03",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-04",,,"0.03","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-05",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-06",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-07",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-08",,,"0.25","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-09",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-10",,,"0.26","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-11",,,"0.58","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-12",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-13",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-14",,,"0.13","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-15",,,"0.41","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-16",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-17",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-18",,,"0.15","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-19",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-20",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-21",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-22",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-23",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-24",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-25",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-26",,,"1.82","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-27",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-28",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-29",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-04-30",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-01",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-02",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-03",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-04",,,"2.13","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-05",,,"3.50","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-06",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-07",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-08",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-09",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-10",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-11",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-12",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-13",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-14",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-15",,,"1.55","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-16",,,"0.03","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-17",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-18",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-19",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-20",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-21",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-22",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-23",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-24",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-25",,,"0.34","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-26",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-27",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-28",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-29",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-30",,,"0.04","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-05-31",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-01",,,"0.11","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-02",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-03",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-04",,,"0.06","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-05",,,"0.06","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-06",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-07",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-08",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-09",,,"0.18","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-10",,,"0.16","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-11",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-12",,,"0.23","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-13",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-14",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-15",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-16",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-17",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-18",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-19",,,"0.76","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-20",,,"2.45","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-21",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-22",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-23",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-24",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-25",,,"0.03","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-26",,,"0.33","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-27",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-28",,,"0.08","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-29",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-06-30",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-01",,,"0.77","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-02",,,"0.07","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-03",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-04",,,"0.35","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-05",,,"0.20","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-06",,,"0.72","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-07",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-08",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-09",,,"0.55","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-10",,,"0.06","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-11",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-12",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-13",,,"0.06","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-14",,,"0.20","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-15",,,"1.52","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-16",,,"0.52","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-17",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-18",,,"0.55","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-19",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-20",,,"0.21","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-21",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-22",,,"0.14","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-23",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-24",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-25",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-26",,,"0.01","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-27",,,"0.22","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-28",,,"0.27","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-29",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-30",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-07-31",,,"0.13","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-01",,,"0.62","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-02",,,"0.06","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-03",,,"0.01","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-04",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-05",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-06",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-07",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-08",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-09",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-10",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-11",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-12",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-13",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-14",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-15",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-16",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-17",,,"0.13","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-18",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-19",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-20",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-21",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-22",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-23",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-24",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-25",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-26",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-27",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-28",,,"0.11","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-29",,,"0.34","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-30",,,"0.09","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-08-31",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-01",,,"0.03","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-02",,,"0.66","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-03",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-04",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-05",,,"1.15","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-06",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-07",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-08",,,"0.11","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-09",,,"0.13","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-10",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-11",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-12",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-13",,,"0.59","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-14",,,"0.99","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-15",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-16",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-17",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-18",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-19",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-20",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-21",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-22",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-23",,,"0.21","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-24",,,"0.26","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-25",,,"0.45","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-26",,,"0.75","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-27",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-28",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-29",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-09-30",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-01",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-02",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-03",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-04",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-05",,,"0.05","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-06",,,"0.48","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-07",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-08",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-09",,,"0.17","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-10",,,"0.07","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-11",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-12",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-13",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-14",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-15",,,"0.02","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-16",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-17",,,"0.31","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-18",,,"1.09","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-19",,,"0.79","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-20",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-21",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-22",,,"0.00","0.0","0.0",,,,
"USC00160548","BATON ROUGE CONCORD, LA US","2007-10-23",,,"1.76","0.0","0.0",,,,
